GroupId,PassengerId,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_num,Cabin_side_P,Cabin_side_S,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001,01,False,True,False,False,False,True,False,False,False,False,False,False,0,True,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False
0002,01,True,False,False,False,False,False,False,False,False,True,False,False,0,False,True,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True
0003,01,False,True,False,False,True,False,False,False,False,False,False,False,0,False,True,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False
0003,02,False,True,False,False,True,False,False,False,False,False,False,False,0,False,True,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False
0004,01,True,False,False,False,False,False,False,False,False,True,False,False,1,False,True,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True
0005,01,True,False,False,False,False,False,False,False,False,True,False,False,0,True,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True
0006,01,True,False,False,False,False,False,False,False,False,True,False,False,2,False,True,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True
0006,02,True,False,False,True,False,False,False,False,False,False,True,False,0,False,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True
0007,01,True,False,False,False,False,False,False,False,False,True,False,False,3,False,True,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True
0008,01,False,True,False,True,False,True,False,False,False,False,False,False,1,True,False,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True
